"ttkVertexScalarField","CriticalType","Coordinates:0","Coordinates:1","Coordinates:2","Points:0","Points:1","Points:2"
289,0,9,7,0,2.3052959,2.3052959,0
1,3,1,0,0,2.3052959,2.3124952,0
327,0,7,8,0,2.3053019,2.3053019,0
288,1,8,7,0,2.3053019,2.3053305,0
248,0,8,6,0,2.3053167,2.3053167,0
288,1,8,7,0,2.3053167,2.3053305,0
286,0,6,7,0,2.30532,2.30532,0
326,1,6,8,0,2.30532,2.3053374,0
365,0,5,9,0,2.3053255,2.3053255,0
326,1,6,8,0,2.3053255,2.3053374,0
61,0,21,1,0,2.3053391,2.3053391,0
136,1,16,3,0,2.3053391,2.3054295,0
20,0,20,0,0,2.3053439,2.3053439,0
21,1,21,0,0,2.3053439,2.3053448,0
23,0,23,0,0,2.3053575,2.3053575,0
22,1,22,0,0,2.3053575,2.3053842,0
324,0,4,8,0,2.3053803,2.3053803,0
364,1,4,9,0,2.3053803,2.305408,0
99,0,19,2,0,2.3053823,2.3053823,0
59,1,19,1,0,2.3053823,2.305393,0
58,0,18,1,0,2.3053894,2.3053894,0
59,1,19,1,0,2.3053894,2.305393,0
441,0,1,11,0,2.3053908,2.3053908,0
402,1,2,10,0,2.3053908,2.3054111,0
362,0,2,9,0,2.305398,2.305398,0
402,1,2,10,0,2.305398,2.3054111,0
400,0,0,10,0,2.305398,2.305398,0
440,1,0,11,0,2.305398,2.3054047,0
403,0,3,10,0,2.3054016,2.3054016,0
364,1,4,9,0,2.3054016,2.305408,0
137,0,17,3,0,2.3054104,2.3054104,0
98,1,18,2,0,2.3054104,2.3054128,0
27,0,27,0,0,2.3054435,2.3054435,0
26,1,26,0,0,2.3054435,2.3055551,0
25,0,25,0,0,2.3054559,2.3054559,0
24,1,24,0,0,2.3054559,2.3054783,0
29,0,29,0,0,2.3055112,2.3055112,0
28,1,28,0,0,2.3055112,2.3055789,0
31,0,31,0,0,2.3056002,2.3056002,0
30,1,30,0,0,2.3056002,2.3056185,0
1283,0,3,32,0,2.3056462,2.3056462,0
1000,1,0,25,0,2.3056462,2.3059804,0
1285,0,5,32,0,2.3056505,2.3056505,0
1284,1,4,32,0,2.3056505,2.3056667,0
34,0,34,0,0,2.3056974,2.3056974,0
33,1,33,0,0,2.3056974,2.3057353,0
1565,0,5,39,0,2.3057208,2.3057208,0
1444,1,4,36,0,2.3057208,2.3057477,0
1405,0,5,35,0,2.305723,2.305723,0
1365,1,5,34,0,2.305723,2.3057303,0
115,0,35,2,0,2.3057237,2.3057237,0
75,1,35,1,0,2.3057237,2.3057323,0
1484,0,4,37,0,2.3057292,2.3057292,0
1485,1,5,37,0,2.3057292,2.3057413,0
1329,0,9,33,0,2.3057377,2.3057377,0
1289,1,9,32,0,2.3057377,2.3057382,0
157,0,37,3,0,2.3057504,2.3057504,0
117,1,37,2,0,2.3057504,2.3058338,0
1240,0,0,31,0,2.3057525,2.3057525,0
1241,1,1,31,0,2.3057525,2.3057547,0
1576,0,16,39,0,2.3057716,2.3057716,0
1531,1,11,38,0,2.3057716,2.3058493,0
1407,2,7,35,0,2.3057723,2.3057723,0
1406,3,6,35,0,2.3057723,2.3057921,0
1489,0,9,37,0,2.3057752,2.3057752,0
1488,1,8,37,0,2.3057752,2.305795,0
1578,0,18,39,0,2.3057818,2.3057818,0
1577,1,17,39,0,2.3057818,2.3058367,0
1408,2,8,35,0,2.3057826,2.3057826,0
1447,3,7,36,0,2.3057826,2.3057978,0
1408,2,8,35,0,2.3057826,2.3057826,0
1368,3,8,34,0,2.3057826,2.3057997,0
1584,0,24,39,0,2.3057854,2.3057854,0
1581,1,21,39,0,2.3057854,2.3058696,0
1574,0,14,39,0,2.3058059,2.3058059,0
1575,1,15,39,0,2.3058059,2.3058114,0
1580,0,20,39,0,2.3058207,2.3058207,0
1579,1,19,39,0,2.3058207,2.3058405,0
1571,0,11,39,0,2.3058217,2.3058217,0
1573,1,13,39,0,2.3058217,2.3058386,0
1410,2,10,35,0,2.3058262,2.3058262,0
1370,3,10,34,0,2.3058262,2.3058274,0
1452,0,12,36,0,2.3058357,2.3058357,0
1451,1,11,36,0,2.3058357,2.3058457,0
840,0,0,21,0,2.3058889,2.3058889,0
800,1,0,20,0,2.3058889,2.3059013,0
803,2,3,20,0,2.3059475,2.3059475,0
802,3,2,20,0,2.3059475,2.305949,0
806,0,6,20,0,2.3059666,2.3059666,0
767,1,7,19,0,2.3059666,2.3059695,0
884,2,4,22,0,2.3059893,2.3059893,0
844,3,4,21,0,2.3059893,2.305999,0
962,2,2,24,0,2.3060012,2.3060012,0
1001,3,1,25,0,2.3060012,2.306005,0
926,2,6,23,0,2.3060081,2.3060081,0
1003,3,3,25,0,2.3060081,2.3060234,0
964,2,4,24,0,2.3060229,2.3060229,0
924,3,4,23,0,2.3060229,2.3060231,0
788,2,28,19,0,2.3065455,2.3065455,0
827,3,27,20,0,2.3065455,2.3065462,0
516,2,36,12,0,2.306601,2.306601,0
476,3,36,11,0,2.306601,2.3066049,0
1519,0,39,37,0,2.3066788,2.3066788,0
1518,1,38,37,0,2.3066788,2.306711,0
1035,2,35,25,0,2.3068202,2.3068202,0
1034,3,34,25,0,2.3068202,2.3068223,0
